,original_text,masked_text,prediction,matching_count,total_count
0,the hound of the baskervilles,the hound <mask> the baskervilles,the hound  of the baskervilles,1,1
1,,,,0,0
2,by a. conan doyle, <mask> a. conan doyle, . a. conan doyle,0,1
3,,,,0,0
4,,,,0,0
5,,,,0,0
6,,,,0,0
7,chapter 1. mr. sherlock holmes,chapter 1. mr. sherlock holmes,chapter 1. mr. sherlock holmes,0,0
8,,,,0,0
9,,,,0,0
10,,,,0,0
11,"mr. sherlock holmes, who was usually very late in the mornings, save","mr. sherlock holmes, who was usually very late <mask> the mornings, save","mr. sherlock holmes, who was usually very late  in the mornings, save",1,1
12,"upon those not infrequent occasions when he was up all night, was seated","upon those not infrequent occasions when he was up all night, was seated","upon those not infrequent occasions when he was up all night, was seated",0,0
13,at the breakfast table. i stood upon the hearth-rug and picked up the, <mask> the breakfast table. i stood upon the hearth-rug and picked up the, at the breakfast table. i stood upon the hearth-rug and picked up the,1,1
14,stick which our visitor had left behind him the night before. it was a,stick which our visitor had left behind him the night before. it was a,stick which our visitor had left behind him the night before. it was a,0,0
15,"fine, thick piece of wood, bulbous-headed, of the sort which is known as","fine, thick piece <mask> wood, bulbous-headed, <mask> the sort which is known as","fine, thick piece  of wood, bulbous-headed,  of the sort which is known as",2,2
16,"a ""penang lawyer."" just under the head was a broad silver band nearly","a ""penang lawyer."" just under the head was a broad silver band nearly","a ""penang lawyer."" just under the head was a broad silver band nearly",0,0
17,"an inch across. ""to james mortimer, m.r.c.s., from his friends of the","an inch across. ""to james mortimer, m.r.c.s., <mask> his friends <mask> the","an inch across. ""to james mortimer, m.r.c.s.,  and his friends  at the",0,2
18,"c.c.h.,"" was engraved upon it, with the date ""1884."" it was just such a","c.c.h.,"" was engraved upon it, <mask> the date ""1884."" it was just such a","c.c.h.,"" was engraved upon it,  with the date ""1884."" it was just such a",1,1
19,"stick as the old-fashioned family practitioner used to carry--dignified,","stick as the old-fashioned family practitioner used <mask> carry--dignified,","stick as the old-fashioned family practitioner used  to carry--dignified,",1,1
20,"solid, and reassuring.","solid, and reassuring.","solid, and reassuring.",0,0
21,,,,0,0
22,"""well, watson, what do you make of it?""","""well, watson, what do you make <mask> it?""","""well, watson, what do you make  of it?""",1,1
23,,,,0,0
24,"holmes was sitting with his back to me, and i had given him no sign of","holmes was sitting <mask> his back <mask> me, and i had given him no sign <mask>","holmes was sitting  with his back  to me, and i had given him no sign .",2,3
25,my occupation.,my occupation.,my occupation.,0,0
26,,,,0,0
27,"""how did you know what i was doing? i believe you have eyes in the back","""how did you know what i was doing? i believe you have eyes <mask> the back","""how did you know what i was doing? i believe you have eyes  in the back",1,1
28,"of your head."""," <mask> your head."""," Use your head.""",0,1
29,,,,0,0
30,"""i have, at least, a well-polished, silver-plated coffee-pot in front of","""i have, <mask> least, a well-polished, silver-plated coffee-pot <mask> front <mask>","""i have,  at least, a well-polished, silver-plated coffee-pot  in front .""",2,3
31,"me,"" said he. ""but, tell me, watson, what do you make of our visitor's","me,"" said he. ""but, tell me, watson, what do you make <mask> our visitor's","me,"" said he. ""but, tell me, watson, what do you make  of our visitor's",1,1
32,stick? since we have been so unfortunate as to miss him and have no,stick? since we have been so unfortunate as <mask> miss him and have no,stick? since we have been so unfortunate as  to miss him and have no,1,1
